�3 04060952.csv,,Lenta-847,1614545971,120
Name,10CT G PBP -1/+1:   --- EKC состояние,10CT G PBP -1/+1:   u09 S5 Темп,11CT G OVZ +5/+8:   u69 Sair Темп,11CT G OVZ +5/+8:   u09 S5 Темп,11CT G OVZ +5/+8:   --- EKC состояние,12CT G GSR +2/+4:   u09 S5 Темп,12CT G GSR +2/+4:   u69 Sair Темп,12CT G GSR +2/+4:   --- EKC состояние,13CT G PBP -1/+1:   u69 Sair Темп,13CT G PBP -1/+1:   --- EKC состояние,13CT G PBP -1/+1:   u09 S5 Темп,14HT SH IKRA -4/-8:   u09 S5 Темп,14HT SH IKRA -4/-8:   --- EKC состояние,14HT SH IKRA -4/-8:   u17 Термостат,15CT G MSO -1/+1:   u09 S5 Темп,15CT G MSO -1/+1:   --- EKC состояние,15CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u09 S5 Темп,16CT G MSO -1/+1:   --- EKC состояние,17CT G GSR +2/+4:   u09 S5 Темп,17CT G GSR +2/+4:   --- EKC состояние,17CT G GSR +2/+4:   u69 Sair Темп,18CT G PTO -1/+1:   u69 Sair Темп,18CT G PTO -1/+1:   u09 S5 Темп,18CT G PTO -1/+1:   --- EKC состояние,19CT G GSR +2/+4:   --- EKC состояние,19CT G GSR +2/+4:   u09 S5 Темп,19CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   u09 S5 Темп,20CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   --- EKC состояние,21CT G GSR +2/+4:   u09 S5 Темп,21CT G GSR +2/+4:   u69 Sair Темп,21CT G GSR +2/+4:   --- EKC состояние,22CT G GSR +2/+4:   u09 S5 Темп,22CT G GSR +2/+4:   u69 Sair Темп,22CT G GSR +2/+4:   --- EKC состояние,23CT V MSO -1/+1:   --- EKC состояние,23CT V MSO -1/+1:   u69 Sair Темп,23CT V MSO -1/+1:   u09 S5 Темп,24CT V GSR +2/+4:   --- EKC состояние,24CT V GSR +2/+4:   u69 Sair Темп,24CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u69 Sair Темп,25CT V GSR +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u09 S5 Темп,26CT G MLK +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   --- EKC состояние,27CT G MLK +2/+4:   u09 S5 Темп,28CT G MLK +2/+4:   --- EKC состояние,28CT G MLK +2/+4:   u69 Sair Темп,28CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u69 Sair Темп,29CT G MLK +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u09 S5 Темп,30CT G GSR +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   u09 S5 Темп,34CT G TRT +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   --- EKC состояние,52CT K PTO -1/+1:   u09 S5 Темп,52CT K PTO -1/+1:   u17 Термостат,52CT K PTO -1/+1:   --- EKC состояние,53K VOP POD PTO:   u17 Термостат,53K VOP POD PTO:   u09 S5 Темп,53K VOP POD PTO:   --- EKC состояние,54K VOP FAS GSR:   --- EKC состояние,54K VOP FAS GSR:   u09 S5 Темп,54K VOP FAS GSR:   u17 Термостат,55CT K GSR +2/+4:   u17 Термостат,55CT K GSR +2/+4:   u09 S5 Темп,55CT K GSR +2/+4:   --- EKC состояние,56CT K COF +5/+8:   u17 Термостат,56CT K COF +5/+8:   u09 S5 Темп,56CT K COF +5/+8:   --- EKC состояние,Gazoanalyzator:   Gas Level %,Gazoanalyzator:   Gas Level Ppm,111CT AG:   Comp A Pressure,111CT AG:   Перегрев A,111CT AG:   Comp A Req Cap,111CT AG:   Comp 2A Status,111CT AG:   Comp 3A Status,111CT AG:   Comp 1A Status,111CT AG:   Comp A Reference,111CT AG:   Comp A Capacity,111CT AG:   Cond Requested Cap,111CT AG:   Cond Running Cap,111CT AG:   Cond Ctrl Pressure,111CT AG:   Sc3 Датч нар воздуха,111CT AG:   Cond Reference
Units,,degc,degc,degc,,degc,degc,,degc,,degc,degc,,degc,degc,,degc,degc,degc,,degc,,degc,degc,degc,,,degc,degc,degc,degc,,degc,degc,,degc,degc,,,degc,degc,,degc,degc,degc,degc,,degc,,degc,degc,,degc,,degc,degc,degc,degc,,degc,,degc,degc,degc,,degc,degc,,degc,degc,,,degc,degc,degc,degc,,degc,degc,,%,,Bar,degc,%,,,,Bar,%,%,%,Bar,degc,Bar
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин,2 мин
 00:00:00  01/03/2021,0,-11.39,7.50,9.11,11,-9.39,0.22,11,1.78,0,0.00,-60.00,11,-5.11,9.89,14,10.72,11.78,14.11,14,7.50,14,7.72,10.61,11.50,14,11,1.00,0.89,-2.22,1.61,11,5.00,4.61,0,2.78,3.89,0,0,-0.22,-5.28,0,-0.89,-5.00,-2.11,1.00,11,7.11,14,6.61,2.89,11,2.28,0,3.78,-6.22,-8.00,1.39,11,4.22,11,3.11,-6.11,3.00,0,6.89,4.00,14,11.00,11.00,11,11,17.11,17.22,3.78,3.78,11,4.39,4.72,11,13.60,139,1.41,20.83,38,1,1,3,0.60,38,0,0,8.68,-8.22,14.77
 00:02:00  01/03/2021,11,-14.78,7.78,9.11,11,-1.39,1.72,11,-0.78,11,-16.00,-60.00,0,-7.00,9.89,14,10.72,11.78,14.50,14,7.50,14,7.72,10.61,11.50,14,0,-0.72,1.39,1.78,2.22,11,2.00,4.61,0,2.28,4.22,0,0,-0.61,-6.00,11,-2.50,-7.50,1.22,1.61,11,7.11,14,6.61,3.78,11,4.00,11,1.00,-5.39,-5.11,0.28,11,1.00,0,4.28,-8.22,0.78,11,6.89,4.00,14,11.00,2.89,0,11,17.11,17.22,3.78,3.78,11,4.72,4.72,11,13.60,139,1.22,22.28,59,1,3,3,0.60,59,0,0,8.59,-8.22,14.77
 00:04:00  01/03/2021,11,-1.50,7.78,9.11,11,2.00,3.11,11,-1.28,11,-10.22,-60.00,11,-4.78,9.89,14,10.72,11.78,14.50,14,7.50,14,8.00,10.61,11.50,14,11,-14.72,-1.89,3.28,2.72,11,-14.00,-1.11,11,-10.78,1.78,0,11,-3.00,-18.00,11,-0.89,-5.72,2.28,2.61,11,7.11,14,6.89,1.78,0,-10.00,11,2.39,1.78,1.28,2.00,11,-14.00,11,1.50,0.78,1.78,11,7.28,4.28,14,10.00,-4.28,0,11,17.11,17.22,3.78,2.72,0,4.89,4.72,11,13.60,139,0.64,29.94,69,3,3,3,0.60,81,0,0,10.76,-8.22,14.77
 00:06:00  01/03/2021,11,5.22,7.00,5.22,0,3.89,4.22,0,-0.28,11,-2.28,-60.00,11,-7.28,9.89,14,10.72,11.78,14.50,14,7.89,14,8.00,10.61,11.50,14,11,-9.72,-1.61,4.22,3.22,11,-6.11,0.28,11,-12.50,0.39,11,11,-3.00,-13.89,11,-0.22,-4.28,3.22,3.22,11,7.39,14,6.89,-0.28,11,-11.50,11,4.11,4.11,3.72,4.28,11,-8.11,11,-0.11,4.22,3.39,11,7.28,4.28,14,9.00,-6.22,0,11,17.11,17.22,1.72,-2.28,11,4.89,5.22,11,13.60,139,2.50,12.89,38,2,1,3,0.60,38,0,0,7.69,-6.00,14.77
 00:08:00  01/03/2021,0,8.22,4.50,-9.28,11,-11.78,1.22,11,0.72,11,1.61,-60.00,11,-4.61,9.89,14,10.72,12.11,14.50,14,7.89,14,8.00,10.89,11.50,14,11,-2.50,-0.22,4.22,3.72,11,2.22,2.50,11,-3.11,1.00,11,11,-2.22,-8.28,0,-0.22,-3.61,3.78,3.78,11,7.39,14,6.89,0.89,11,-1.11,11,0.50,-9.61,-6.28,1.50,11,0.00,11,0.78,-4.78,3.39,0,7.61,4.28,14,8.61,4.50,11,11,17.11,17.22,1.72,1.61,11,4.89,5.22,11,13.60,139,1.14,32.50,38,3,1,3,0.60,50,0,0,10.23,-6.00,14.77
 00:10:00  01/03/2021,0,-10.11,3.50,-7.78,11,-12.78,-0.11,11,1.72,11,3.61,-60.00,11,-7.50,9.89,14,10.72,12.11,14.50,14,7.89,14,8.39,10.89,11.50,14,11,1.89,1.28,4.22,4.22,0,5.72,4.22,11,1.22,2.00,11,11,-1.22,-5.72,11,-2.89,-8.22,3.28,3.00,0,7.39,14,6.89,2.22,11,3.39,11,-1.00,-6.61,-6.28,-0.50,11,3.61,11,2.11,-15.28,0.72,11,7.61,4.61,14,9.28,8.61,11,11,17.11,17.22,2.72,2.72,11,5.28,5.22,11,13.60,139,1.54,18.56,13,2,1,2,0.60,0,0,0,6.78,-6.00,14.77
 00:12:00  01/03/2021,11,-15.72,3.89,-0.61,11,-3.39,1.61,11,1.11,0,-1.78,-60.00,11,-4.22,9.89,14,10.72,12.11,14.78,14,8.22,14,8.39,10.89,11.78,14,0,-2.72,1.28,-11.22,2.00,0,1.28,3.22,0,3.39,2.89,11,11,-0.39,-4.11,11,-1.50,-6.50,-10.00,-0.39,11,7.39,14,7.22,3.61,11,3.89,11,0.89,0.89,0.61,1.39,11,4.11,11,3.39,-2.39,1.11,11,7.61,4.61,4,10.00,9.78,11,11,17.11,17.22,3.22,3.22,11,5.28,5.50,11,13.60,139,1.07,26.72,38,1,1,3,0.60,38,0,0,7.21,-6.00,14.77
